[2026-02-02 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2026-02-02 00:30:01] Force level: 0 (0=normal, 1=check missing, 2=full bypass)
[2026-02-02 00:30:01] Source: CLI (argv)
[2026-02-02 00:30:01] Database connection established
[2026-02-02 00:30:01] [emp_id: 5472] Created new emp_vacation_balance with starting balance 0.08
[2026-02-02 00:30:01] Created 1 new emp_vacation_balance record(s) for newly registered employees
[2026-02-02 00:30:01] Found 423 active employees with balance records to update
[2026-02-02 00:30:01] (Only employees with status=1 will be processed)
[2026-02-02 00:30:02]   [emp_id: 2554] ✓ Updated: 41.1 → 41.27 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2565] ✓ Updated: 5.68 → 5.85 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2572] ✓ Updated: 45.68 → 45.85 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2637] ✓ Updated: 6.26 → 6.43 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2642] ✓ Updated: 79.01 → 79.18 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2645] ✓ Updated: 95.01 → 95.18 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2648] ✓ Updated: 46.68 → 46.85 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2654] ✓ Updated: 89.35 → 89.52 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2688] ✓ Updated: 27.43 → 27.6 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2690] ✓ Updated: 16.18 → 16.35 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2709] ✓ Updated: 38.43 → 38.6 (VALUE CHANGED)
[2026-02-02 00:30:02]   [emp_id: 2745] ✓ Updated: 35.01 → 35.18 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2843] ✓ Updated: 81.6 → 81.77 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2854] ✓ Updated: 61.51 → 61.68 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2869] ✓ Updated: 5.43 → 5.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2876] ✓ Updated: 36.26 → 36.43 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2924] ✓ Updated: 17.43 → 17.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2953] ✓ Updated: 103.18 → 103.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2961] ✓ Updated: 13.18 → 13.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 2975] ✓ Updated: 2.86 → 3.03 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3013] ✓ Updated: 12.18 → 12.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3014] ✓ Updated: 91.43 → 91.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3015] ✓ Updated: 2.68 → 2.85 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3018] ✓ Updated: 61.43 → 61.6 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3025] ✓ Updated: 25.2 → 25.37 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3037] ✓ Updated: 4.93 → 5.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3047] ✓ Updated: 73.18 → 73.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3061] ✓ Updated: 20.1 → 20.27 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3062] ✓ Updated: 53.26 → 53.43 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3074] ✓ Updated: 109.68 → 109.85 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3089] ✓ Updated: 8.6 → 8.77 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3090] ✓ Updated: 35.18 → 35.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3091] ✓ Updated: 47.18 → 47.35 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3092] ✓ Updated: 29.85 → 30.02 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3105] ✓ Updated: 1.18 → 1.26 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3134] ✓ Updated: 45.93 → 46.1 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3140] ✓ Updated: 43.01 → 43.18 (VALUE CHANGED)
[2026-02-02 00:30:03]   [emp_id: 3144] ✓ Updated: 15.85 → 16.02 (VALUE CHANGED)
