[2025-12-13 00:30:01] ========== CRON: Vacation Balance Update Started ==========
[2025-12-13 00:30:01] Database connection established
[2025-12-13 00:30:01] Found 439 active employees with balance records to update
[2025-12-13 00:30:01] (Only employees with status=1 will be processed)
[2025-12-13 00:30:01]   [emp_id: 1061] ✓ Updated: 31.6 → 31.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1496] ✓ Updated: 14.77 → 14.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1500] ✓ Updated: 24.02 → 24.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1574] ✓ Updated: 31.68 → 31.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1673] ✓ Updated: 43.18 → 43.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1685] ✓ Updated: 13.1 → 13.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1764] ✓ Updated: 67.77 → 67.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1805] ✓ Updated: 62.1 → 62.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1822] ✓ Updated: 66.85 → 66.93 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1837] ✓ Updated: 23.02 → 23.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1857] ✓ Updated: 18.35 → 18.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1861] ✓ Updated: 69.18 → 69.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1872] ✓ Updated: 8.02 → 8.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1897] ✓ Updated: 30.35 → 30.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1916] ✓ Updated: 9.65 → 9.73 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1928] ✓ Updated: 62.6 → 62.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1931] ✓ Updated: 82.52 → 82.6 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1944] ✓ Updated: 40.68 → 40.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1996] ✓ Updated: 69.18 → 69.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1997] ✓ Updated: 34.35 → 34.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1998] ✓ Updated: 85.68 → 85.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 1999] ✓ Updated: 86.68 → 86.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2009] ✓ Updated: 33.1 → 33.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2048] ✓ Updated: 22.93 → 23.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2057] ✓ Updated: 63.77 → 63.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2079] ✓ Updated: 46.1 → 46.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2181] ✓ Updated: 35.1 → 35.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2190] ✓ Updated: 4.43 → 4.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2212] ✓ Updated: 22.43 → 22.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2226] ✓ Updated: 67.18 → 67.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2238] ✓ Updated: 65.43 → 65.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2285] ✓ Updated: 34.1 → 34.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2287] ✓ Updated: 45.77 → 45.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2288] ✓ Updated: 60.68 → 60.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2290] ✓ Updated: 77.6 → 77.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2316] ✓ Updated: 14.6 → 14.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2337] ✓ Updated: 35.68 → 35.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2352] ✓ Updated: 67.18 → 67.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2358] ✓ Updated: 3.68 → 3.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2361] ✓ Updated: 69.35 → 69.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2363] ✓ Updated: 71.93 → 72.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2364] ✓ Updated: 71.35 → 71.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2367] ✓ Updated: 99.02 → 99.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2368] ✓ Updated: 29.43 → 29.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2372] ✓ Updated: 66.68 → 66.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2376] ✓ Updated: 116.68 → 116.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2423] ✓ Updated: 17.43 → 17.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2519] ✓ Updated: 171.1 → 171.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2522] ✓ Updated: 54.68 → 54.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2530] ✓ Updated: 49.93 → 50.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2539] ✓ Updated: 46.68 → 46.76 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2541] ✓ Updated: 27.27 → 27.35 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2550] ✓ Updated: 93.43 → 93.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2553] ✓ Updated: 60.43 → 60.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2554] ✓ Updated: 37.02 → 37.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2565] ✓ Updated: 91.6 → 91.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2572] ✓ Updated: 41.6 → 41.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2637] ✓ Updated: 62.18 → 62.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2642] ✓ Updated: 74.93 → 75.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2645] ✓ Updated: 90.93 → 91.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2648] ✓ Updated: 42.6 → 42.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2654] ✓ Updated: 85.27 → 85.35 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2688] ✓ Updated: 23.35 → 23.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2690] ✓ Updated: 12.1 → 12.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2709] ✓ Updated: 34.35 → 34.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2745] ✓ Updated: 30.93 → 31.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2843] ✓ Updated: 77.52 → 77.6 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2854] ✓ Updated: 57.43 → 57.51 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2869] ✓ Updated: 62.35 → 62.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2876] ✓ Updated: 32.18 → 32.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2924] ✓ Updated: 13.35 → 13.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2953] ✓ Updated: 99.1 → 99.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2961] ✓ Updated: 9.1 → 9.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 2975] ✓ Updated: 11.1 → 11.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3013] ✓ Updated: 8.1 → 8.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3014] ✓ Updated: 87.35 → 87.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3015] ✓ Updated: 38.6 → 38.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3018] ✓ Updated: 57.35 → 57.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3025] ✓ Updated: 81.02 → 81.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3037] ✓ Updated: 80.85 → 80.93 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3047] ✓ Updated: 69.1 → 69.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3061] ✓ Updated: 16.02 → 16.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3062] ✓ Updated: 49.18 → 49.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3074] ✓ Updated: 105.6 → 105.68 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3089] ✓ Updated: 4.52 → 4.6 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3090] ✓ Updated: 31.1 → 31.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3091] ✓ Updated: 43.1 → 43.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3092] ✓ Updated: 25.77 → 25.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3105] ✓ Updated: 46.1 → 46.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3134] ✓ Updated: 41.85 → 41.93 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3140] ✓ Updated: 38.93 → 39.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3144] ✓ Updated: 11.77 → 11.85 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3156] ✓ Updated: 15.1 → 15.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3162] ✓ Updated: 0.08 → 0.16 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3163] ✓ Updated: 3.35 → 3.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3198] ✓ Updated: 38.35 → 38.43 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3205] ✓ Updated: 15.02 → 15.1 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3209] ✓ Updated: 39.18 → 39.26 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3223] ✓ Updated: 88.1 → 88.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3224] ✓ Updated: 62.85 → 62.93 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3230] ✓ Updated: 86.27 → 86.35 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3231] ✓ Updated: 87.52 → 87.6 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3233] ✓ Updated: 79.1 → 79.18 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3249] ✓ Updated: 34.93 → 35.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3250] ✓ Updated: 7.93 → 8.01 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3252] ✓ Updated: 8.85 → 8.93 (CHANGED)
[2025-12-13 00:30:02]   [emp_id: 3254] ✓ Updated: 19.35 → 19.43 (CHANGED)
