[2026-01-01 00:30:02] ========== CRON: Vacation Balance Update Started ==========
[2026-01-01 00:30:02] Database connection established
[2026-01-01 00:30:02] Found 428 active employees with balance records to update
[2026-01-01 00:30:02] (Only employees with status=1 will be processed)
[2026-01-01 00:30:02]   [emp_id: 1061] ✓ Refreshed: 0.16 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1496] ✓ Refreshed: 16.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1500] ✓ Refreshed: 3.97 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1574] ✓ Refreshed: 33.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1673] ✓ Refreshed: 44.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1685] ✓ Refreshed: 14.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1764] ✓ Refreshed: 69.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1805] ✓ Refreshed: 63.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1822] ✓ Refreshed: 68.37 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1837] ✓ Refreshed: 24.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1857] ✓ Refreshed: 19.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1861] ✓ Refreshed: 70.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1872] ✓ Refreshed: 9.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1897] ✓ Refreshed: 4.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1916] ✓ Refreshed: 11.17 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1928] ✓ Refreshed: 64.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1931] ✓ Refreshed: 84.04 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1944] ✓ Refreshed: 42.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1996] ✓ Refreshed: 70.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1997] ✓ Refreshed: 35.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1998] ✓ Refreshed: 27.31 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 1999] ✓ Refreshed: 28.31 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2009] ✓ Refreshed: 34.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2048] ✓ Refreshed: 24.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2057] ✓ Refreshed: 65.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2079] ✓ Refreshed: 47.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2181] ✓ Refreshed: 36.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2190] ✓ Refreshed: 5.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2212] ✓ Refreshed: 23.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2226] ✓ Refreshed: 68.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2238] ✓ Refreshed: 66.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2285] ✓ Refreshed: 35.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2287] ✓ Refreshed: 47.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2288] ✓ Refreshed: 2.31 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2316] ✓ Refreshed: 16.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2337] ✓ Refreshed: 37.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2352] ✓ Refreshed: 68.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2358] ✓ Refreshed: 5.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2361] ✓ Refreshed: 70.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2363] ✓ Refreshed: 73.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2364] ✓ Refreshed: 72.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2367] ✓ Refreshed: 100.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2368] ✓ Refreshed: 30.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2372] ✓ Refreshed: 68.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2376] ✓ Refreshed: 118.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2423] ✓ Refreshed: 18.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2519] ✓ Refreshed: 172.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2522] ✓ Refreshed: 56.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2530] ✓ Refreshed: 51.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2539] ✓ Refreshed: 48.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2541] ✓ Refreshed: 28.79 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2550] ✓ Refreshed: 94.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2553] ✓ Refreshed: 32.06 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2554] ✓ Refreshed: 38.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2565] ✓ Refreshed: 93.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2572] ✓ Refreshed: 43.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2637] ✓ Refreshed: 63.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2642] ✓ Refreshed: 76.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2645] ✓ Refreshed: 92.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2648] ✓ Refreshed: 44.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2654] ✓ Refreshed: 86.79 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2688] ✓ Refreshed: 24.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2690] ✓ Refreshed: 13.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2709] ✓ Refreshed: 35.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2745] ✓ Refreshed: 32.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2843] ✓ Refreshed: 79.04 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2854] ✓ Refreshed: 58.95 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2869] ✓ Refreshed: 63.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2876] ✓ Refreshed: 33.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2924] ✓ Refreshed: 14.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2953] ✓ Refreshed: 100.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:02]   [emp_id: 2961] ✓ Refreshed: 10.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 2975] ✓ Refreshed: 3.72 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3013] ✓ Refreshed: 9.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3014] ✓ Refreshed: 88.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3015] ✓ Refreshed: 40.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3018] ✓ Refreshed: 58.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3025] ✓ Refreshed: 22.64 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3037] ✓ Refreshed: 82.37 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3047] ✓ Refreshed: 70.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3061] ✓ Refreshed: 17.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3062] ✓ Refreshed: 50.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3074] ✓ Refreshed: 107.12 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3089] ✓ Refreshed: 6.04 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3090] ✓ Refreshed: 32.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3091] ✓ Refreshed: 44.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3092] ✓ Refreshed: 27.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3105] ✓ Refreshed: 47.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3134] ✓ Refreshed: 43.37 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3140] ✓ Refreshed: 40.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3144] ✓ Refreshed: 13.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3156] ✓ Refreshed: 16.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3162] ✓ Refreshed: 1.6 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3163] ✓ Refreshed: 4.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3198] ✓ Refreshed: 39.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3205] ✓ Refreshed: 16.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3209] ✓ Refreshed: 40.7 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3223] ✓ Refreshed: 89.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3224] ✓ Refreshed: 64.37 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3230] ✓ Refreshed: 87.79 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3231] ✓ Refreshed: 0.16 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3233] ✓ Refreshed: 80.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3249] ✓ Refreshed: 36.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3250] ✓ Refreshed: 9.45 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3252] ✓ Refreshed: 10.37 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3254] ✓ Refreshed: 20.87 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3255] ✓ Refreshed: 17.29 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3256] ✓ Refreshed: 13.54 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3263] ✓ Refreshed: 29.62 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3265] ✓ Refreshed: 25.2 (unchanged value, timestamp updated)
[2026-01-01 00:30:03]   [emp_id: 3280] ✓ Refreshed: 72.12 (unchanged value, timestamp updated)
